sensor_id, sensor_x, sensor_y, sensor_z
0,-21,-21,19.1
1,-21,-15,19.1
2,-21,-9,19.1
3,-21,-3,19.1
4,-21,3,19.1
5,-21,9,19.1
6,-21,15,19.1
7,-21,21,19.1
1,-15,-21,19.1
2,-15,-15,19.1
3,-15,-9,19.1
4,-15,-3,19.1
5,-15,3,19.1
6,-15,9,19.1
7,-15,15,19.1
8,-15,21,19.1
2,-9,-21,19.1
3,-9,-15,19.1
4,-9,-9,19.1
5,-9,-3,19.1
6,-9,3,19.1
7,-9,9,19.1
8,-9,15,19.1
9,-9,21,19.1
3,-3,-21,19.1
4,-3,-15,19.1
5,-3,-9,19.1
6,-3,-3,19.1
7,-3,3,19.1
8,-3,9,19.1
9,-3,15,19.1
10,-3,21,19.1
4,3,-21,19.1
5,3,-15,19.1
6,3,-9,19.1
7,3,-3,19.1
8,3,3,19.1
9,3,9,19.1
10,3,15,19.1
11,3,21,19.1
5,9,-21,19.1
6,9,-15,19.1
7,9,-9,19.1
8,9,-3,19.1
9,9,3,19.1
10,9,9,19.1
11,9,15,19.1
12,9,21,19.1
6,15,-21,19.1
7,15,-15,19.1
8,15,-9,19.1
9,15,-3,19.1
10,15,3,19.1
11,15,9,19.1
12,15,15,19.1
13,15,21,19.1
7,21,-21,19.1
8,21,-15,19.1
9,21,-9,19.1
10,21,-3,19.1
11,21,3,19.1
12,21,9,19.1
13,21,15,19.1
14,21,21,19.1
